;tweet_cleans;tweet_english;klasifikasi
0;anjir wkwwkwkkw dokternya auto ngeuh;fig wkwwkwkkw the doctor auto nod;Netral
1;mksdnya yg ruang icu nanyain kondisi andin dokternya;i mean, the icu room asks the doctor's condition andin;Negatif
2;pas lahir ga nangis yaa dokternya sibuk lgi operasi suster bidannya ga berani nanganin gegara sungsang;when i was born, i didn't cry, the doctor was busy with surgery, the nurse, the midwife, didn't dare to treat it because of the breech;Positif
3;trs pas kuliah fisiologi persarafan kandung kemih rectum trs dokternya blg ngebrok it mean bab disadari perasarafannya rusak bab tbtb bab tmnku nanya ngebrok woy bahasa medisnya susah bhs jawanya;then, when i studied physiology, the innervation of the bladder, rectum, the doctor told me to broach it, it means the chapter realized that the nerves were damaged.;Netral
4;dokternya bilang gigiku cantik ketawa;the doctor said my teeth are beautiful laugh;Positif
5;yoongi treatment nya aja ya jir muka debut tu beda bersih glowingnyaaaa dokternya manteb;yoongi just the treatment, yes, the debut face is different, clean, glowing, the doctor is great;Positif
6;eh buset keknya emang keknya dokternya noh gojin wedding organizer anjirrrr kimjaewook;eh buset keknya emang keknya dokternya noh gojin wedding organizer anjirrrr kimjaewook;Netral
7;coba datengin klinik faskes bpjs yg ponakan pake konsul dokternya surat rujukan langsung bilang aja ponakan udah berobat sembuh;try going to the bpjs health facility clinic, the nephew uses a doctor's consul, the referral letter immediately says that the nephew has been cur;Netral
8;untung suntik alhamdulillah susternya ga nyari nadinya tinggal cari bekas suntikan sblmnya aja;luckily the injection, thank god the nurse didn't look for a pulse, just look for the previous inject;Positif
9;kakak gue yg ngerawat udah dicheck natrium gue ga yg ngelakuin dokter suster pura pura ga tau gimana gue ga ngerti nyesel gue masukin gue rsud depok dokternya langsung cepat tanggap balikin elektrolit;my sister who is taking care has had my sodium checked, i didn't do anything, the doctor, the nurse, pretended not to know how i didn't understand, i'm sorry i put me in the hospital in depok, the doctor immediately responded and returned electrolyt;Negatif
10;askara nya nangis bilang lemah dokternya hahaha;the warrior is crying saying the doctor is weak hahaha;Negatif
11;sebenernya tergantung faskes nya emang faskes yg susah kasih rujukan puskesmas ponakan berobat yg susah kasih rujukan coba aja bilang dokternya kalo berobat disitu gaada perubahan rujuk dokter kulit;actually it depends on the health facility, it's the health facility that is difficult to give referrals to the niece's health center for treatment, which is difficult to give referrals, just try to tell the doctor if there is no change, refer to a dermatologist;Negatif
12;cuman gtau sih bener engga emang baiknya langsung dokternya aja;i just don't know if it's true or not, it's better to go straight to the doctor;Positif
